name,ticker,operationType,date,isMarginCall,instrumentType,figi,payment,currency,status,id,quantity,quantityExecuted,price
Bank VTB,VTBR,Buy,2021-05-26,,Stock,VTBR,-476.63,RUB,,,10000,10000,0.047663
Mechel AP,MTLRP,Buy,2021-05-26,,Stock,MTLRP,-290733.44,RUB,,,2730,2730,106.4957656
AFK Sistema,AFKS,Sell,2021-05-26,,Stock,AFKS,290971.84,RUB,,,9200,9200,31.62737391
Mechel AP,MTLRP,Buy,2021-05-28,,Stock,MTLRP,-10759.67,RUB,,,100,100,107.5967
Inter RAO,IRAO,Buy,2021-05-28,,Stock,IRAO,-508.01,RUB,,,100,100,5.0801
,,PayIn,2021-06-08,,Currency,,80000,RUB,,,,,
DVMP,FESH,Buy,2021-06-08,,Stock,FESH,-1548.09,RUB,,,100,100,15.4809
Mechel AP,MTLRP,Buy,2021-06-08,,Stock,MTLRP,-8398.87,RUB,,,70,70,119.9838571
Inter RAO,IRAO,Sell,2021-06-08,,Stock,IRAO,13003.64,RUB,,,2600,2600,5.0014
Globaltrans,GLTR,Buy,2021-06-08,,Stock,GLTR,-30216.13,RUB,,,60,60,503.6021667
KuybyshevAzot,KAZTP,Sell,2021-06-08,,Stock,KAZTP,70560.58,RUB,,,320,320,220.5018125
UC RUSAL,RUAL,Sell,2021-06-08,,Stock,RUAL,133643.84,RUB,,,2310,2310,57.85447619
Bank VTB,VTBR,Sell,2021-06-08,,Stock,VTBR,278111.67,RUB,,,5640000,5640000,0.04931058
OGK-2,OGKB,Sell,2021-06-08,,Stock,OGKB,326075.87,RUB,,,392000,392000,0.831826199
PAO Zil,ZILL,Buy,2021-06-08,,Stock,ZILL,-860747.9033,RUB,,,193,193,4459.833696
,,PayIn,2021-06-16,,Currency,,200000,RUB,,,,,
DVMP,FESH,Buy,2021-06-16,,Stock,FESH,-150161.01,RUB,,,9000,9000,16.68455667
PAO Zil,ZILL,Buy,2021-06-16,,Stock,ZILL,-49149.17,RUB,,,12,12,4095.764167
DVMP,FESH,Buy,2021-06-21,,Stock,FESH,-51075.93,RUB,,,3000,3000,17.02531
Globaltrans,GLTR,Buy,2021-06-21,,Stock,GLTR,-53047.7,RUB,,,100,100,530.477
PAO Zil,ZILL,Buy,2021-06-21,,Stock,ZILL,-74677.22,RUB,,,18,18,4148.734444
KuybyshevAzot,KAZTP,Sell,2021-06-21,,Stock,KAZTP,225566.13,RUB,,,750,750,300.75484
DVMP,FESH,Buy,2021-06-22,,Stock,FESH,-25630.05,RUB,,,1500,1500,17.0867
PAO Zil,ZILL,Buy,2021-06-22,,Stock,ZILL,-20568.49,RUB,,,5,5,4113.698
KuybyshevAzot,KAZTP,Sell,2021-06-28,,Stock,KAZTP,200819.12,RUB,,,750,750,267.7588267
PAO Zil,ZILL,Buy,2021-06-28,,Stock,ZILL,-101090.9,RUB,,,25,25,4043.636
DVMP,FESH,Buy,2021-06-28,,Stock,FESH,-95075.5,RUB,,,5500,5500,17.28645455
TGK-1,TGKA,Sell,2021-07-13,,Stock,TGKA,218358.037,RUB,,,19700000,19700000,0.011084164
Nefaz,NFAZ,Buy,2021-07-14,,Stock,NFAZ,-6633.96,RUB,,,20,20,331.698
Mechel AP,MTLRP,Buy,2021-07-14,,Stock,MTLRP,-12656.39,RUB,,,100,100,126.5639
Samolyot,SMLT,Buy,2021-07-14,,Stock,SMLT,-18366.52,RUB,,,10,10,1836.652
PAO Zil,ZILL,Buy,2021-07-14,,Stock,ZILL,-81688.4,RUB,,,20,20,4084.42
Globaltrans,GLTR,Buy,2021-07-14,,Stock,GLTR,-103292.9,RUB,,,200,200,516.4645
Samolyot,SMLT,Sell,2021-07-21,,Stock,SMLT,23548.79,RUB,,,10,10,2354.879
Etalon Group,ETLN,Buy,2021-07-21,,Stock,ETLN,-25729.55,RUB,,,213,213,120.7960094
TGK-1,TGKA,Dividend,2021-07-21,,Stock,TGKA,18347.87,RUB,,,,,
Etalon Group,ETLN,Buy,2021-07-22,,Stock,ETLN,-18860.88,RUB,,,156,156,120.9030769
